rank,symbol_a,symbol_b,pair,timeframe,coint_statistic,coint_pvalue,adf_statistic,adf_pvalue,half_life_days,sharpe_ratio,profit_factor,win_rate,total_trades,max_drawdown,avg_holding_minutes,hedge_ratio,spread_mean,spread_std,avg_dollar_volume_a,avg_dollar_volume_b,window_start,window_end,sample_bars
88,DE,CME,DE/CME,1 day,-4.78954194,0.000394,-4.7849843,5.8e-05,8.286691206944445,3.12047301,,1.0,7,0.08594976,16662.857143,0.92774231,,0.04607362,269545454.52,211849135.73,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
89,D,JXN,D/JXN,1 day,-5.52252747,1.6e-05,-5.51767305,2e-06,6.67459259375,3.0437116,,1.0,6,0.05634145,16320.0,0.34464995,,0.03753095,153957620.42,22998733.64,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
90,ABG,IP,ABG/IP,1 day,-4.81758341,0.000351,-5.04675068,1.8e-05,8.44162085625,3.43617782,,1.0,6,0.06419185,18000.0,0.39607133,,0.05399582,14732974.56,128268407.99,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
91,AIN,TENB,AIN/TENB,1 day,-4.91407261,0.000236,-4.90938895,3.3e-05,7.864288079861111,3.33008445,,1.0,6,0.0638617,24480.0,0.91138121,,0.059491,6381926.67,21785429.06,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
92,ACA,MC,ACA/MC,1 day,-4.7943339,0.000386,-4.78975615,5.7e-05,8.23817583263889,3.10052285,,1.0,7,0.04670946,19131.428571,0.59836652,,0.04301009,8127127.75,21092859.51,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
93,ANDE,CMBM,ANDE/CMBM,1 day,-4.74416404,0.000473,-4.73984615,7.1e-05,8.616712279166666,3.15648433,,1.0,7,0.0704359,17485.714286,0.14670638,,0.0678402,3966163.02,1675892.71,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
94,AIN,TTWO,AIN/TTWO,1 day,-4.20339947,0.003605,-4.19945654,0.00066,10.694609465972222,3.52539014,,1.0,7,0.07552328,20160.0,-0.65805342,,0.07845177,6381926.67,143950811.59,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
95,MRNA,CHRD,MRNA/CHRD,1 day,-4.39440691,0.001816,-4.39672362,0.000301,11.0877176125,3.46138328,,1.0,7,0.32796469,18925.714286,2.49114818,,0.17003608,238704183.34,49077077.79,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
96,AHCO,BXMT,AHCO/BXMT,1 day,-4.60078254,0.000832,-4.59635831,0.000131,8.924598577083334,3.1986079,,1.0,7,0.19357266,21805.714286,-0.94182719,,0.11642362,6511956.25,25187824.34,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
97,PG,OKE,PG/OKE,1 day,-4.18636524,0.003825,-4.18229293,0.000706,10.616688390972222,3.51136418,,1.0,7,0.02647586,16662.857143,0.29260622,,0.03079502,541513062.54,143188099.63,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
98,ADEA,L,ADEA/L,1 day,-4.16715096,0.004089,-4.16304452,0.000761,10.611962650694444,3.51811678,,1.0,7,0.05708999,12960.0,1.20430229,,0.07791731,3054351.04,23488738.84,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
99,K,CPRX,K/CPRX,1 day,-4.94988289,0.000203,-4.94552191,2.8e-05,8.102470768055555,3.33188098,,1.0,6,0.04672471,13920.0,0.87245103,,0.0643793,127363131.21,12318814.02,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
100,PM,PD,PM/PD,1 day,-4.46009694,0.001423,-4.27801384,0.000485,8.296093947222221,3.40825569,,1.0,6,0.11413198,22320.0,-1.48139707,,0.1054962,375324200.68,15025157.83,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
